experiment_id,golden_question_id,query,retrieval_method,rank,document,page,chunk_id,evidence_label,notes
EXP01,Q03,"How does Microsoft approach responsible AI?",semantic,1,msft-23,5,msft-23-P5-C1,direct,
EXP01,Q03,"How does Microsoft approach responsible AI?",semantic,2,msft-25,5,msft-25-P5-C1,direct,
EXP01,Q03,"How does Microsoft approach responsible AI?",semantic,3,msft-24,12,msft-24-P12-C1,direct,
EXP01,Q03,"How does Microsoft approach responsible AI?",hybrid,1,msft-23,5,msft-23-P5-C1,direct,
EXP01,Q03,"How does Microsoft approach responsible AI?",hybrid,2,nara-cap,24,nara-cap-P24-C1,irrelevant,
EXP01,Q03,"How does Microsoft approach responsible AI?",hybrid,3,msft-25,5,msft-25-P5-C1,direct,
EXP01,Q03,"How does Microsoft approach responsible AI?",hybrid,4,nara-cap,8,nara-cap-P8-C1,irrelevant,
EXP01,Q03,"How does Microsoft approach responsible AI?",hybrid,5,msft-24,12,msft-24-P12-C1,direct,
EXP02,Q01,"What are the three interconnected ambitions driving Microsoft's research and development?",semantic,1,msft-25,5,msft-25-P5-C1,direct,
EXP02,Q01,"What are the three interconnected ambitions driving Microsoft's research and development?",semantic,2,msft-24,11,msft-24-P11-C1,direct,
EXP02,Q01,"What are the three interconnected ambitions driving Microsoft's research and development?",hybrid,1,msft-25,5,msft-25-P5-C1,direct,
EXP02,Q01,"What are the three interconnected ambitions driving Microsoft's research and development?",hybrid,2,msft-24,11,msft-24-P11-C1,direct,
EXP02,Q01,"What are the three interconnected ambitions driving Microsoft's research and development?",hybrid,3,msft-25,21,msft-25-P21-C2,related,
EXP02,Q01,"What are the three interconnected ambitions driving Microsoft's research and development?",hybrid,4,msft-25,10,msft-25-P10-C1,direct,
EXP02,Q01,"What are the three interconnected ambitions driving Microsoft's research and development?",hybrid,5,msft-25,21,msft-25-P21-C1,related,
