experiment_id,golden_question_id,question,method,rank,document,page,chunk_id,score,top1_hit,top5_hit,expected_documents,evidence_required
EXP01,Q03,How does Microsoft approach responsible AI?,semantic,1,msft-23,5,msft-23-P5-C1,0.5511608624385935,True,True,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,semantic,2,msft-25,5,msft-25-P5-C1,0.5397404038904052,True,True,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,semantic,3,msft-24,12,msft-24-P12-C1,0.4969566025148821,True,True,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,semantic,4,msft-24,11,msft-24-P11-C1,0.46353191531639193,True,True,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,semantic,5,msft-23,12,msft-23-P12-C1,0.44875613058284947,True,True,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,bm25,1,nara-cap,24,nara-cap-P24-C1,8.941302200996684,False,False,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,bm25,2,nara-cap,8,nara-cap-P8-C1,8.50076034261008,False,False,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,bm25,3,nara-cap,21,nara-cap-P21-C1,8.453899816105467,False,False,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,bm25,4,nara-cap,25,nara-cap-P25-C1,6.733116316476123,False,False,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,bm25,5,nara-cap,15,nara-cap-P15-C1,6.726384723870721,False,False,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,hybrid,1,msft-23,5,msft-23-P5-C1,0.03131881575727918,True,True,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,hybrid,2,nara-cap,24,nara-cap-P24-C1,0.01639344262295082,True,True,msft-23|msft-24|msft-25,True
EXP01,Q03,How does Microsoft approach responsible AI?,hybrid,3,msft-25,5,msft-25-P5-C1,0.016129032258064516,True,True,msft-23|msft-24|msft-25,True
